Ativo,Data,Intervalo,Volume
BTCUSDT,2025-05-03 00:00:00,1m,2.86611
BTCUSDT,2025-05-03 00:01:00,1m,5.80131
BTCUSDT,2025-05-03 00:02:00,1m,4.3811
BTCUSDT,2025-05-03 00:03:00,1m,3.9094
BTCUSDT,2025-05-03 00:04:00,1m,4.50218
BTCUSDT,2025-05-03 00:05:00,1m,3.82342
BTCUSDT,2025-05-03 00:06:00,1m,1.77918
BTCUSDT,2025-05-03 00:07:00,1m,11.2972
BTCUSDT,2025-05-03 00:08:00,1m,6.6474
BTCUSDT,2025-05-03 00:09:00,1m,4.42518
BTCUSDT,2025-05-03 00:10:00,1m,0.8951
BTCUSDT,2025-05-03 00:11:00,1m,5.53279
BTCUSDT,2025-05-03 00:12:00,1m,6.78437
BTCUSDT,2025-05-03 00:13:00,1m,3.7638
BTCUSDT,2025-05-03 00:14:00,1m,1.10152
BTCUSDT,2025-05-03 00:15:00,1m,6.91192
BTCUSDT,2025-05-03 00:16:00,1m,4.96043
BTCUSDT,2025-05-03 00:17:00,1m,4.37341
BTCUSDT,2025-05-03 00:18:00,1m,3.76984
BTCUSDT,2025-05-03 00:19:00,1m,4.93322
BTCUSDT,2025-05-03 00:20:00,1m,21.34365
BTCUSDT,2025-05-03 00:21:00,1m,1.46966
BTCUSDT,2025-05-03 00:22:00,1m,5.07164
BTCUSDT,2025-05-03 00:23:00,1m,5.13713
BTCUSDT,2025-05-03 00:24:00,1m,2.61189
BTCUSDT,2025-05-03 00:25:00,1m,1.90478
BTCUSDT,2025-05-03 00:26:00,1m,1.32898
BTCUSDT,2025-05-03 00:27:00,1m,8.44772
BTCUSDT,2025-05-03 00:28:00,1m,2.67629
BTCUSDT,2025-05-03 00:29:00,1m,8.41825
BTCUSDT,2025-05-03 00:30:00,1m,3.8244
BTCUSDT,2025-05-03 00:31:00,1m,4.45929
BTCUSDT,2025-05-03 00:32:00,1m,4.67546
BTCUSDT,2025-05-03 00:33:00,1m,3.84465
BTCUSDT,2025-05-03 00:34:00,1m,2.1397
BTCUSDT,2025-05-03 00:35:00,1m,5.40888
BTCUSDT,2025-05-03 00:36:00,1m,8.79713
BTCUSDT,2025-05-03 00:37:00,1m,5.21522
BTCUSDT,2025-05-03 00:38:00,1m,2.69933
BTCUSDT,2025-05-03 00:39:00,1m,0.59606
BTCUSDT,2025-05-03 00:40:00,1m,2.35189
BTCUSDT,2025-05-03 00:41:00,1m,6.37899
BTCUSDT,2025-05-03 00:42:00,1m,0.78668
BTCUSDT,2025-05-03 00:43:00,1m,1.11839
BTCUSDT,2025-05-03 00:44:00,1m,1.26754
BTCUSDT,2025-05-03 00:45:00,1m,3.69043
BTCUSDT,2025-05-03 00:46:00,1m,0.64878
BTCUSDT,2025-05-03 00:47:00,1m,2.16763
